,47019,nn_m,nn_std
2003-09-24,0.524,0.49743430859517307,0.060843189164206765
2003-09-25,0.474,0.4025319586087887,0.05870492181598841
2003-09-26,0.46799999999999997,0.45196178157293326,0.05100016155976136
2003-09-27,0.48,0.48056806596604734,0.05376599251468498
2003-09-28,0.488,0.45451619153575995,0.052837286962795965
2003-09-29,0.47,0.4699236530346032,0.05137604128655952
2003-09-30,0.475,0.49688992877992105,0.05481459584928843
2003-10-01,0.569,0.5785240390812031,0.05089497170186955
2003-10-02,0.521,0.587275390719716,0.0563047087293824
2003-10-03,0.4920000000000001,0.4791389486153205,0.050902718023194064
2003-10-04,0.46799999999999997,0.407689002032479,0.0549127130877129
2003-10-05,0.517,0.4872949824019359,0.04701450511775678
2003-10-06,0.868,0.7853930141013074,0.05764175018393516
2003-10-07,0.894,0.8848025377756318,0.060235636098932004
2003-10-08,0.826,0.7550129961735578,0.06548143909655459
2003-10-09,0.6609999999999999,0.5900226637788898,0.06827609200597111
2003-10-10,0.631,0.6708473339388707,0.06462141092284936
2003-10-11,0.9129999999999999,0.8712028373875668,0.10861842733496306
2003-10-12,0.7879999999999999,0.7049920852103758,0.0846094301428869
2003-10-13,0.696,0.7025282889223025,0.08877112211602858
2003-10-14,0.7,0.658845096830055,0.06100595910967049
2003-10-15,0.604,0.5602638269239826,0.06039081104630995
2003-10-16,0.532,0.5147295194049235,0.05315777981908874
