date,54057,nn_m,nn_std
2000-08-23,27.2,26.494208098710228,0.27316538535872803
2000-08-24,24.4,24.918058042923793,0.27619261698623065
2000-08-25,23.7,24.282732245956826,0.2168266286286668
2000-08-26,25.3,25.284093628777264,0.157654690846727
2000-08-27,31.1,32.03663679927716,0.20071776275506426
2000-08-28,38.3,32.562988710941944,0.19129681747906477
2000-08-29,42.7,37.89118043910003,0.45428589053371204
2000-08-30,45.9,44.22711307158184,0.2831603071610054
2000-08-31,49.6,44.8972513334304,0.512971522121502
2000-09-01,47.8,51.329280978686285,0.565918737947893
2000-09-02,45.0,47.539280063510425,0.7468156730752964
2000-09-03,43.8,45.50555483530477,0.6301481309575813
2000-09-04,31.7,30.17090787063773,0.38146364458784876
2000-09-05,27.5,26.33603867357365,0.5247234421003819
2000-09-06,25.4,26.129454372862114,0.32524406488922497
2000-09-07,23.1,23.95985005175117,0.19285049084740172
2000-09-08,24.0,24.90575083897755,0.21240589103258978
2000-09-09,31.2,33.14691595488725,0.35497919400717465
2000-09-10,29.9,28.790610124335085,0.2896680017456011
2000-09-11,25.0,27.077855099190195,0.4294688966067963
2000-09-12,22.9,22.836433506870637,0.2542729392635543
2000-09-13,25.0,23.092893384178943,0.2333762501182541
2000-09-14,34.0,32.27109477486036,0.30926281775556563
2000-09-15,59.3,60.66165812807794,0.5015712235514669
2000-09-16,58.1,59.22754091454223,0.8891522448456812
2000-09-17,51.2,47.7272325284982,0.5928437586621691
2000-09-18,47.4,53.12977576295422,0.4210242983255092
2000-09-19,59.4,65.51808655803634,0.5462240430009963
2000-09-20,91.7,88.7825497348923,0.6428115802768142
2000-09-21,84.9,89.38637737219736,0.8015327113493523
2000-09-22,79.3,75.13534258640026,0.4653958976588831
2000-09-23,65.9,69.5752610489056,0.40163473614397727
2000-09-24,63.3,61.933704258672165,0.5735173087797399
2000-09-25,66.9,71.0224581412866,0.8719951741760485
2000-09-26,174.0,168.00821123173222,1.1727843177322386
2000-09-27,266.0,258.89797669301913,1.627483861740482
2000-09-28,306.0,302.6358265323883,3.470069700539462
2000-09-29,305.0,297.66665236022413,1.3626611644396578
2000-09-30,256.0,259.42785593645254,1.1856773907831064
2000-10-01,184.0,186.67303940090312,1.4221624584569197
2000-10-02,127.0,135.24332332660555,0.7570053663422147
2000-10-03,119.0,117.63341855730127,1.0597524764661368
2000-10-04,117.0,117.5553735410946,1.0638806922515194
2000-10-05,95.6,96.97855779238503,0.9925883598539644
2000-10-06,95.8,97.08628414876654,1.1124346542661057
2000-10-07,107.0,108.40857134286456,1.148772646074665
2000-10-08,112.0,114.64277445258243,1.174128740502808
2000-10-09,118.0,117.89849227088291,1.0002440264049126
2000-10-10,167.0,172.6002797069061,1.6827681055307306
2000-10-11,291.0,290.7408549703072,1.7386110343894319
2000-10-12,344.0,330.6728479906102,2.3928616261332554
2000-10-13,292.0,293.2608099254187,1.7650566309650255
2000-10-14,209.0,207.8044397853586,1.084905351703352
2000-10-15,173.0,164.44569875863664,0.9347449843398743
2000-10-16,147.0,151.03295003386796,0.950658407698796
2000-10-17,120.0,121.92928712800924,0.9182689420480373
2000-10-18,92.3,99.7945755116197,0.8042359881089075
2000-10-19,91.9,90.71621392424406,1.1137958516184594
2000-10-20,92.2,93.10126294119378,1.0323686503982734
2000-10-21,106.0,106.75711984420889,0.9131007404580788
2000-10-22,97.5,95.35811637755465,0.9226178765627352
2000-10-23,87.5,87.53810586686699,0.7759955194639903
2000-10-24,83.5,78.75497573289768,0.6518232439613784
2000-10-25,102.0,99.68189273759647,1.1265487938099257
2000-10-26,116.0,110.0836597214197,0.9095405743062199
2000-10-27,129.0,128.48763084453014,1.5290445572141287
2000-10-28,174.0,189.93941551048013,3.9468379618277716
2000-10-29,319.0,351.4185261325924,19.438243354408122
2000-10-30,451.0,455.966444386915,8.972641844631283
2000-10-31,476.0,508.1889476952381,18.492104852323106
2000-11-01,480.0,470.84806649981806,10.923742239341935
2000-11-02,551.0,479.14166566681945,7.611649285444873
2000-11-03,652.0,555.6060784516609,6.086398125950897
2000-11-04,643.0,657.2548391818352,5.234801901349422
2000-11-05,558.0,627.1117763283372,31.059110119412466
2000-11-06,558.0,546.7810843937307,7.688619945202644
2000-11-07,641.0,574.9802419070508,30.12929920465559
2000-11-08,705.0,661.6657188369422,16.83812325377882
2000-11-09,711.0,677.5415491525434,6.807792219194328
2000-11-10,619.0,652.5779618937675,9.356235248457779
2000-11-11,538.0,568.9243894629394,10.715179607103758
2000-11-12,514.0,502.13024416647835,3.3793365966952176
2000-11-13,491.0,494.72914592874747,6.844540725008116
2000-11-14,467.0,456.78000350073455,3.1558846603940776
2000-11-15,431.0,435.2002749250472,1.6000496993108713
2000-11-16,394.0,391.83221025262924,1.1432738873872308
2000-11-17,356.0,353.31121374312033,1.2261425995735542
2000-11-18,312.0,308.00099344815806,1.3066090341473686
2000-11-19,278.0,277.6632108657109,1.1943922987034967
2000-11-20,264.0,270.8827349213693,1.6863406272526982
2000-11-21,253.0,257.4963575380466,3.4757749864021226
2000-11-22,343.0,346.61259097878013,3.452040009332305
2000-11-23,391.0,371.8245751483018,3.0092172222368285
2000-11-24,365.0,365.8947696197307,5.0360273633945924
2000-11-25,333.0,324.99200009142066,3.058723234853804
2000-11-26,371.0,381.365469525794,2.0613183107538364
2000-11-27,386.0,385.686014126608,4.209327340326946
2000-11-28,426.0,421.84209565317906,3.449700075587351
2000-11-29,450.0,448.5442095733488,4.224524150446009
2000-11-30,428.0,441.37399665622826,3.626347148914892
2000-12-01,387.0,400.1416408124565,2.4829120137129084
2000-12-02,357.0,373.5230025603465,4.254087157017934
2000-12-03,314.0,325.6375143555779,5.7846945943723895
2000-12-04,307.0,309.703042432943,4.329525303203036
2000-12-05,371.0,364.22469232080226,4.383764462836231
2000-12-06,452.0,437.43597574273156,7.709197178816629
2000-12-07,474.0,482.9679029212169,13.503542477283156
2000-12-08,480.0,490.6089228759133,15.128220108718525
2000-12-09,548.0,520.5520399483821,31.29998236451083
2000-12-10,569.0,556.3208647061823,12.46405421028995
2000-12-11,565.0,589.8403963412904,9.327073422707645
2000-12-12,626.0,547.765544468478,14.87602716713388
2000-12-13,718.0,660.9830995645683,13.709344560629587
2000-12-14,802.0,736.6258710005051,20.329604904150077
2000-12-15,727.0,755.0024910257129,9.412825252344913
